n r0 start_temp cooling_rate energy
2 4.242640687119286 2000 10 17.111770177322484
1 4.242640687119286 1000 13 17.19141786066197
2 4.242640687119286 1000 13 17.11178566154627
0 4.242640687119286 2500 13 17.23511684899107
2 4.242640687119286 2500 10 17.152531633736178
0 4.242640687119286 1500 13 17.11178192317091
1 4.242640687119286 3000 13 17.173220766268756
0 4.242640687119286 1000 13 17.131972280175404
0 4.242640687119286 2000 13 17.170810718918403
2 4.242640687119286 2500 7 17.165652964352077
1 4.242640687119286 2500 13 17.13283055570116
2 4.242640687119286 2000 7 17.182779897273132
1 4.242640687119286 2000 13 17.111781970091805
1 4.242640687119286 1500 13 17.131025052960872
0 4.242640687119286 3000 13 17.189700051031217
2 4.242640687119286 3000 4 17.133125191926496
2 4.242640687119286 1500 16 17.13302112610309
2 4.242640687119286 2000 16 17.187328957785404
3 4.242640687119286 1000 4 17.184271600706737
3 4.242640687119286 1500 4 17.13203357661915
2 4.242640687119286 2500 16 17.231841965999557
2 4.242640687119286 1500 21 17.10124951017257
2 4.242640687119286 3000 10 17.19261168612614
2 4.242640687119286 2000 21 17.185180768456192
2 4.242640687119286 1000 19 17.143477778460564
0 4.242640687119286 2500 19 17.154327068976635
2 4.242640687119286 1500 13 17.111769842401653
2 4.242640687119286 3000 7 17.25877295392982
1 4.242640687119286 2000 19 17.159573483619578
3 4.242640687119286 1000 10 17.190561801262675
1 4.242640687119286 2000 37 17.173975421086787
1 4.242640687119286 1000 19 17.190253332779573
1 4.242640687119286 1500 19 17.187865587085533
0 4.242640687119286 1000 19 17.210117132927387
0 4.242640687119286 1500 19 17.18858792697241
2 4.242640687119286 2000 13 17.15389826589634
0 4.242640687119286 3000 19 17.18752863749818
0 4.242640687119286 2000 19 17.245171221110162
3 4.242640687119286 1000 7 17.246094009375526
1 4.242640687119286 3000 19 17.154557320895627
2 4.242640687119286 1000 37 17.15396678091161
1 4.242640687119286 2500 19 17.132031411498232
3 4.242640687119286 1500 7 17.220829821337027
2 4.242640687119286 2500 13 17.179683274714165
0 4.242640687119286 2000 37 17.129685468180263
0 4.242640687119286 1000 37 17.10136603540697
1 4.242640687119286 1500 37 17.14230853011646
1 4.242640687119286 1000 37 17.223989312459917
0 4.242640687119286 1500 37 17.172750723512458
1 4.242640687119286 3000 37 17.14146273289411
0 4.242640687119286 2500 37 17.256729773474717
0 4.242640687119286 3000 37 17.2851426342761
1 4.242640687119286 2500 37 17.122916732282647
2 4.242640687119286 3000 16 17.188216297179714
3 4.242640687119286 2000 4 17.186044463062984
3 4.242640687119286 2500 4 17.137754815960623
3 4.242640687119286 1000 16 17.17629765349605
3 4.242640687119286 3000 4 17.21402389690245
1 4.242640687119286 2000 24 17.11180026978367
2 4.242640687119286 2500 21 17.202144979427466
1 4.242640687119286 1500 24 17.242029175118354
0 4.242640687119286 1000 24 17.228441233112374
1 4.242640687119286 2500 24 17.22749534216193
0 4.242640687119286 2000 24 17.1117846218241
