n r0 start_temp cooling_rate energy
1 4.242640687119286 1000 15 17.14577647761682
0 4.242640687119286 2000 23 17.165402927257468
0 4.242640687119286 3000 23 17.193851922207312
0 4.242640687119286 2000 13 17.214385065714268
0 4.242640687119286 2500 23 17.206778098252315
0 4.242640687119286 2750 11 17.212656014565653
0 4.242640687119286 2250 11 17.111800290103922
1 4.242640687119286 1250 23 17.23568841297238
0 4.242640687119286 1500 23 17.22249684763138
1 4.242640687119286 1000 11 17.11178344761798
0 4.242640687119286 1250 11 17.23143247409922
1 4.242640687119286 1500 11 17.130843429292437
0 4.242640687119286 2500 13 17.21893391458484
0 4.242640687119286 1500 13 17.183659344410017
0 4.242640687119286 1000 13 17.12327518126586
0 4.242640687119286 1750 11 17.111785432698255
1 4.242640687119286 1250 13 17.189207919385833
1 4.242640687119286 1750 13 17.187312181514187
1 4.242640687119286 2000 7 17.173890085669733
0 4.242640687119286 3000 13 17.129699567535138
0 4.242640687119286 1250 26 17.15303060758118
0 4.242640687119286 2500 18 17.11176790553481
0 4.242640687119286 1750 26 17.133121054226528
1 4.242640687119286 1250 18 17.111782950759082
0 4.242640687119286 1000 18 17.132850762385132
1 4.242640687119286 1000 26 17.13785638702574
1 4.242640687119286 1500 26 17.24052495361432
0 4.242640687119286 2250 26 17.1912489041299
0 4.242640687119286 2750 26 17.15558451032873
0 4.242640687119286 3000 18 17.17363701882063
0 4.242640687119286 1500 18 17.156524139962468
0 4.242640687119286 2000 18 17.11177120573824
1 4.242640687119286 2000 13 17.13198804539308
0 4.242640687119286 1000 29 17.125561427903254
1 4.242640687119286 1750 16 17.20099570544755
1 4.242640687119286 2000 8 17.222762099386838
0 4.242640687119286 2000 29 17.164789387268147
1 4.242640687119286 1250 29 17.235975179723457
0 4.242640687119286 3000 29 17.249483068949736
0 4.242640687119286 2750 12 17.216293639515705
0 4.242640687119286 2500 29 17.170024008746147
0 4.242640687119286 1500 29 17.131986214768446
0 4.242640687119286 1750 21 17.118039118317263
0 4.242640687119286 2250 12 17.22798625123625
1 4.242640687119286 1000 21 17.122790735050092
1 4.242640687119286 1500 12 17.17994777490493
0 4.242640687119286 2250 16 17.15271784150553
0 4.242640687119286 2000 14 17.190834340348786
1 4.242640687119286 1500 16 17.19652769454576
1 4.242640687119286 1000 12 17.111777907226724
0 4.242640687119286 1250 12 17.14122887744806
0 4.242640687119286 2750 16 17.191476458034018
0 4.242640687119286 1250 21 17.22520246649995
0 4.242640687119286 1250 16 17.111781020849527
0 4.242640687119286 1750 16 17.153878656324956
1 4.242640687119286 1000 16 17.173965521771823
0 4.242640687119286 1750 12 17.233967460819926
0 4.242640687119286 2250 21 17.1705700936921
1 4.242640687119286 1250 14 17.25675628406288
0 4.242640687119286 2500 14 17.22466994211421
1 4.242640687119286 2250 4 17.242863812244853
1 4.242640687119286 1500 21 17.131017440265023
0 4.242640687119286 2750 21 17.152670800507742
1 4.242640687119286 2000 19 17.142977034912107
0 4.242640687119286 1000 14 17.195646894965105
0 4.242640687119286 1500 14 17.195103248696142
1 4.242640687119286 1750 22 17.24126584513162
1 4.242640687119286 1750 14 17.142634292352483
0 4.242640687119286 3000 14 17.200028060908167
1 4.242640687119286 2000 9 17.126919351691242
0 4.242640687119286 1000 24 17.224991384156212
1 4.242640687119286 2250 5 17.184959822462154
1 4.242640687119286 2500 7 17.17402423830708
1 4.242640687119286 2000 25 17.165966603109393
0 4.242640687119286 2500 24 17.210349148887094
0 4.242640687119286 1000 19 17.12971756738348
1 4.242640687119286 2250 10 17.143640169771803
1 4.242640687119286 1250 24 17.111796657901433
0 4.242640687119286 2000 24 17.231382324867752
0 4.242640687119286 2500 19 17.173176536051216
1 4.242640687119286 1750 28 17.11177858164318
0 4.242640687119286 3000 24 17.122624182558724
1 4.242640687119286 1250 19 17.177818644229653
1 4.242640687119286 2000 14 17.11177490456469
0 4.242640687119286 1500 24 17.237562622269245
0 4.242640687119286 3000 19 17.248248702029564
0 4.242640687119286 1500 19 17.173137356191212
1 4.242640687119286 1750 17 17.189316744049194
0 4.242640687119286 2000 19 17.1321829501073
0 4.242640687119286 2000 15 17.176136216149374
1 4.242640687119286 2250 6 17.1117954611315
1 4.242640687119286 2250 16 17.218517294370486
0 4.242640687119286 1750 27 17.16866380880885
0 4.242640687119286 2250 17 17.31991151134242
1 4.242640687119286 2000 10 17.219632558981502
1 4.242640687119286 1250 15 17.199223952755155
1 4.242640687119286 2500 8 17.24954668199709
1 4.242640687119286 1500 17 17.12120337606215
0 4.242640687119286 2750 17 17.132857471197582
0 4.242640687119286 1250 27 17.18929498668067
0 4.242640687119286 1250 17 17.17550422660863
0 4.242640687119286 2500 15 17.153868828219302
0 4.242640687119286 1000 15 17.257141388158427
0 4.242640687119286 1750 17 17.111806541734573
1 4.242640687119286 1000 17 17.23039062021274
0 4.242640687119286 1500 15 17.230513517991227
0 4.242640687119286 3000 15 17.1976613208117
1 4.242640687119286 1750 15 17.132249629977423
1 4.242640687119286 1000 27 17.21604559408172
1 4.242640687119286 1500 27 17.19505036818098
0 4.242640687119286 2250 27 17.152691011109425
0 4.242640687119286 2750 27 17.158190948459346
1 4.242640687119286 2250 11 17.191415808093453
1 4.242640687119286 2250 22 17.199458321398822
1 4.242640687119286 1000 22 17.197730534380916
0 4.242640687119286 1750 22 17.24426609528632
1 4.242640687119286 2250 7 17.247790493977938
1 4.242640687119286 2000 20 17.208621004848425
0 4.242640687119286 1250 22 17.182148899652457
1 4.242640687119286 2750 4 17.176664257685278
0 4.242640687119286 2250 22 17.2224857014606
1 4.242640687119286 1500 22 17.249561460523342
0 4.242640687119286 2750 22 17.202113068515533
0 4.242640687119286 1000 30 17.237479109903546
0 4.242640687119286 2000 30 17.15433951034287
1 4.242640687119286 2500 13 17.12977605927358
1 4.242640687119286 2000 15 17.221760331085203
1 4.242640687119286 2500 9 17.18369138097175
1 4.242640687119286 1750 23 17.152673157073274
1 4.242640687119286 2250 28 17.109659499447414
1 4.242640687119286 2000 11 17.17651702752814
1 4.242640687119286 2750 5 17.186269442155055
1 4.242640687119286 1250 30 17.174190628477472
0 4.242640687119286 3000 30 17.18393754111113
1 4.242640687119286 2250 8 17.153012984515037
0 4.242640687119286 2500 30 17.11178913636487
0 4.242640687119286 1500 30 17.137120936863838
0 4.242640687119286 1000 20 17.208126621691083
1 4.242640687119286 2750 10 17.142736913320952
1 4.242640687119286 1250 20 17.122614039286397
0 4.242640687119286 1250 4 17.154375956019564
0 4.242640687119286 3000 20 17.11178270241695
0 4.242640687119286 2500 20 17.26872313759552
0 4.242640687119286 1000 25 17.1961239600471
1 4.242640687119286 2250 17 17.19884941457893
0 4.242640687119286 2250 4 17.187379122886902
1 4.242640687119286 1750 18 17.149472983426094
1 4.242640687119286 1500 4 17.26487592864195
0 4.242640687119286 1500 20 17.101247401035064
1 4.242640687119286 1000 4 17.101315693952763
1 4.242640687119286 1250 25 17.158158177430565
1 4.242640687119286 2250 12 17.13788483415854
0 4.242640687119286 2750 4 17.191066587923906
0 4.242640687119286 2000 20 17.17249951481758
0 4.242640687119286 1750 4 17.15329888649421
1 4.242640687119286 2750 6 17.15637343933249
0 4.242640687119286 2500 25 17.183634572103323
1 4.242640687119286 1500 18 17.19169563801519
0 4.242640687119286 1250 5 17.101310499818148
0 4.242640687119286 2250 18 17.111773823037648
1 4.242640687119286 2000 26 17.17613196500286
1 4.242640687119286 2500 19 17.19059920883357
1 4.242640687119286 2750 16 17.183577539110082
0 4.242640687119286 2000 25 17.121741590410622
0 4.242640687119286 2250 5 17.212906817280345
0 4.242640687119286 1250 18 17.17776918431977
0 4.242640687119286 3000 25 17.122961292404018
0 4.242640687119286 2750 18 17.15594038121943
0 4.242640687119286 1750 18 17.18811310738699
1 4.242640687119286 1000 18 17.189102555446617
0 4.242640687119286 1500 25 17.148791555516453
1 4.242640687119286 2500 10 17.13101703870191
1 4.242640687119286 2250 9 17.231817345451688
1 4.242640687119286 1000 5 17.169095306691766
1 4.242640687119286 1500 5 17.12283903764827
0 4.242640687119286 2750 5 17.17317048657719
0 4.242640687119286 1750 5 17.147784873268645
1 4.242640687119286 1750 29 17.201053731398694
1 4.242640687119286 2000 12 17.269898962056246
1 4.242640687119286 2750 11 17.18445800451072
0 4.242640687119286 1250 6 17.280062631337064
1 4.242640687119286 2500 14 17.16660283386326
2 4.242640687119286 1000 4 17.111775756851458
1 4.242640687119286 2750 7 17.212135043641972
0 4.242640687119286 1750 28 17.11179972421271
1 4.242640687119286 2750 22 17.123713771644635
0 4.242640687119286 2250 6 17.144446673973178
1 4.242640687119286 2000 21 17.172181588168886
1 4.242640687119286 2000 16 17.231799972025147
1 4.242640687119286 3000 7 17.194118271934155
1 4.242640687119286 2500 25 17.101320951234804
1 4.242640687119286 2250 23 17.216580984470085
1 4.242640687119286 1000 23 17.216812644357375
0 4.242640687119286 1750 23 17.152699526683126
1 4.242640687119286 1000 6 17.111774108355313
1 4.242640687119286 1500 6 17.194275360647236
0 4.242640687119286 1250 23 17.149448406904334
0 4.242640687119286 1750 6 17.180830186692447
0 4.242640687119286 1250 28 17.130580264403797
0 4.242640687119286 2750 6 17.225138469660987
0 4.242640687119286 2250 23 17.18079966022661
1 4.242640687119286 2250 13 17.13785553218252
2 4.242640687119286 1000 5 17.187186731633716
0 4.242640687119286 2750 28 17.18826384277024
2 4.242640687119286 1000 10 17.111773160196137
0 4.242640687119286 2750 23 17.18958645556922
1 4.242640687119286 1000 28 17.253260842824524
1 4.242640687119286 1500 28 17.164111069125642
1 4.242640687119286 2250 18 17.101290461403092
0 4.242640687119286 2250 28 17.212895223436934
1 4.242640687119286 1500 23 17.18069387030804
1 4.242640687119286 2500 11 17.24899753955764
0 4.242640687119286 1000 21 17.11177732752916
1 4.242640687119286 3000 13 17.1786166508992
1 4.242640687119286 2750 8 17.111781715995292
1 4.242640687119286 1250 21 17.198597095730417
1 4.242640687119286 1750 19 17.135724237120527
1 4.242640687119286 1750 24 17.218123154741512
0 4.242640687119286 3000 21 17.201649031272417
1 4.242640687119286 3000 8 17.17053992514278
0 4.242640687119286 2500 21 17.10125829586495
2 4.242640687119286 1250 7 17.158209402620006
1 4.242640687119286 2750 17 17.12253083352138
1 4.242640687119286 2750 12 17.182441398337488
2 4.242640687119286 1500 4 17.15681563790842
2 4.242640687119286 1000 6 17.13546830838828
0 4.242640687119286 1500 21 17.23217901150907
0 4.242640687119286 1000 26 17.163651515953887
1 4.242640687119286 2500 20 17.208625200525827
0 4.242640687119286 2000 21 17.15826844837504
1 4.242640687119286 2500 15 17.122586483257837
1 4.242640687119286 2250 29 17.181776338965513
1 4.242640687119286 3000 19 17.15253566602828
2 4.242640687119286 1000 16 17.23587719533579
1 4.242640687119286 1250 26 17.19635219825455
2 4.242640687119286 1250 13 17.111794988026638
2 4.242640687119286 1000 11 17.11762398433891
2 4.242640687119286 1500 5 17.154396709214087
1 4.242640687119286 2750 9 17.217407753535984
1 4.242640687119286 2000 17 17.234797630560163
0 4.242640687119286 2500 26 17.156651087790635
1 4.242640687119286 2250 14 17.11177839181071
2 4.242640687119286 1000 7 17.164618152433587
1 4.242640687119286 3000 9 17.16409390637353
2 4.242640687119286 1250 8 17.111782693043555
1 4.242640687119286 2500 12 17.13484448165479
2 4.242640687119286 1000 22 17.111787608982638
2 4.242640687119286 1500 10 17.216159865621
0 4.242640687119286 2000 26 17.178659136040153
1 4.242640687119286 3000 25 17.10128997574085
1 4.242640687119286 2000 27 17.15771705844623
0 4.242640687119286 3000 26 17.15308683842404
2 4.242640687119286 1750 7 17.180097454321302
1 4.242640687119286 2750 28 17.11179224214664
0 4.242640687119286 1500 26 17.12267131675523
2 4.242640687119286 1250 19 17.123214967217983
1 4.242640687119286 3000 14 17.22730146055124
1 4.242640687119286 2000 22 17.179641004043447
2 4.242640687119286 1500 6 17.216055269537705
1 4.242640687119286 2750 23 17.22624192392624
1 4.242640687119286 2250 19 17.258419590985355
2 4.242640687119286 1500 16 17.197254382615434
1 4.242640687119286 2750 13 17.15538600347125
1 4.242640687119286 1000 24 17.245462573373413
1 4.242640687119286 2250 24 17.20871607217897
0 4.242640687119286 1250 24 17.231247943818328
0 4.242640687119286 1750 24 17.12254892945406
0 4.242640687119286 1750 29 17.25041351800602
2 4.242640687119286 1000 8 17.222927939924183
2 4.242640687119286 1000 28 17.141400836891172
1 4.242640687119286 2500 26 17.17254717797917
2 4.242640687119286 1250 25 17.22470568383757
2 4.242640687119286 1000 12 17.173152796488086
1 4.242640687119286 1750 30 17.15924892850025
2 4.242640687119286 1250 9 17.172176839660676
0 4.242640687119286 2250 24 17.140795267384007
2 4.242640687119286 1750 13 17.19640687090686
1 4.242640687119286 1750 20 17.180747176644232
2 4.242640687119286 1750 8 17.24414342374703
1 4.242640687119286 2750 18 17.15479058777377
2 4.242640687119286 1500 7 17.17431780108683
1 4.242640687119286 2500 16 17.153522450758587
1 4.242640687119286 3000 10 17.14142429037902
0 4.242640687119286 2750 24 17.162676901237525
1 4.242640687119286 1500 24 17.122534515673568
2 4.242640687119286 1250 14 17.19620309060112
2 4.242640687119286 1500 11 17.20870299223718
2 4.242640687119286 2000 4 17.137548149912142
2 4.242640687119286 1500 22 17.14178661291352
2 4.242640687119286 1000 17 17.111796485695756
0 4.242640687119286 1250 29 17.243035047520493
1 4.242640687119286 2000 4 17.152674405007534
1 4.242640687119286 2500 21 17.132121528195814
1 4.242640687119286 2250 15 17.15389004805261
1 4.242640687119286 2000 18 17.21080716642748
0 4.242640687119286 2750 29 17.133649477559658
1 4.242640687119286 3000 20 17.111778409716194
1 4.242640687119286 1750 25 17.17834614720942
1 4.242640687119286 1000 29 17.22240280616839
