n surf.density surf.n r0 start_temp cooling_rate energy/atom
10 12.148003803837238 81 4.9290980521465055 2000 10 0.18614798934141533
165 12.148003803837238 81 4.9290980521465055 2000 10 0.18157652610178737
265 12.148003803837238 81 4.9290980521465055 2000 10 0.17846738028375342
260 12.148003803837238 81 4.9290980521465055 2000 10 0.17695641357359362
230 12.148003803837238 81 4.9290980521465055 2000 10 0.18409936643328983
220 12.148003803837238 81 4.9290980521465055 2000 10 0.17445213951390987
225 12.148003803837238 81 4.9290980521465055 2000 10 0.17743769925843664
110 12.148003803837238 81 4.9290980521465055 2000 10 0.17967755005438968
120 12.148003803837238 81 4.9290980521465055 2000 10 0.17499101748953133
95 12.148003803837238 81 4.9290980521465055 2000 10 0.17739148744199015
150 12.148003803837238 81 4.9290980521465055 2000 10 0.18050682476105231
200 12.148003803837238 81 4.9290980521465055 2000 10 0.17468093046937883
210 12.148003803837238 81 4.9290980521465055 2000 10 0.18339484790585966
215 12.148003803837238 81 4.9290980521465055 2000 10 0.17849154504249642
195 12.148003803837238 81 4.9290980521465055 2000 10 0.1851555492383277
155 12.148003803837238 81 4.9290980521465055 2000 10 0.17813185325733727
35 12.148003803837238 81 4.9290980521465055 2000 10 0.1813971774228651
185 12.148003803837238 81 4.9290980521465055 2000 10 0.18007661794538654
100 12.148003803837238 81 4.9290980521465055 2000 10 0.1774018808624474
75 12.148003803837238 81 4.9290980521465055 2000 10 0.17721066699179844
275 12.148003803837238 81 4.9290980521465055 2000 10 0.1754061579892284
255 12.148003803837238 81 4.9290980521465055 2000 10 0.17804391490872884
80 12.148003803837238 81 4.9290980521465055 2000 10 0.17421129751138853
180 12.148003803837238 81 4.9290980521465055 2000 10 0.2012249366467194
160 12.148003803837238 81 4.9290980521465055 2000 10 0.17477723156300615
115 12.148003803837238 81 4.9290980521465055 2000 10 0.1768420534652675
55 12.148003803837238 81 4.9290980521465055 2000 10 0.17847997136876848
40 12.148003803837238 81 4.9290980521465055 2000 10 0.17548947386190866
70 12.148003803837238 81 4.9290980521465055 2000 10 0.1765981488647183
205 12.148003803837238 81 4.9290980521465055 2000 10 0.18338175849136198
65 12.148003803837238 81 4.9290980521465055 2000 10 0.18932785438580915
20 12.148003803837238 81 4.9290980521465055 2000 10 0.18089015170438036
130 12.148003803837238 81 4.9290980521465055 2000 10 0.1792413245150718
235 12.148003803837238 81 4.9290980521465055 2000 10 0.17792036905717043
60 12.148003803837238 81 4.9290980521465055 2000 10 0.17685459598472733
140 12.148003803837238 81 4.9290980521465055 2000 10 0.1800009010966074
240 12.148003803837238 81 4.9290980521465055 2000 10 0.19711636377162675
85 12.148003803837238 81 4.9290980521465055 2000 10 0.1817155823778697
50 12.148003803837238 81 4.9290980521465055 2000 10 0.1851608951090042
15 12.148003803837238 81 4.9290980521465055 2000 10 0.1825929303169184
30 12.148003803837238 81 4.9290980521465055 2000 10 0.17563234161885283
0 12.148003803837238 81 4.9290980521465055 2000 10 0.17580710480248923
145 12.148003803837238 81 4.9290980521465055 2000 10 0.18791108313572702
125 12.148003803837238 81 4.9290980521465055 2000 10 0.17659634369090216
270 12.148003803837238 81 4.9290980521465055 2000 10 0.18100781421782336
105 12.148003803837238 81 4.9290980521465055 2000 10 0.1870103561230901
5 12.148003803837238 81 4.9290980521465055 2000 10 0.1745406473627803
190 12.148003803837238 81 4.9290980521465055 2000 10 0.1745185858695164
25 12.148003803837238 81 4.9290980521465055 2000 10 0.17649713321652705
175 12.148003803837238 81 4.9290980521465055 2000 10 0.17418253533252018
90 12.148003803837238 81 4.9290980521465055 2000 10 0.17686498470669693
135 12.148003803837238 81 4.9290980521465055 2000 10 0.17715013315819156
45 12.148003803837238 81 4.9290980521465055 2000 10 0.18018913805419315
250 12.148003803837238 81 4.9290980521465055 2000 10 0.1764939039973252
245 12.148003803837238 81 4.9290980521465055 2000 10 0.1875564084966887
170 12.148003803837238 81 4.9290980521465055 2000 10 0.18026274060634415
11 12.148003803837238 81 4.9290980521465055 2000 10 0.1803445918107979
166 12.148003803837238 81 4.9290980521465055 2000 10 0.1928946860463402
231 12.148003803837238 81 4.9290980521465055 2000 10 0.20442822255859597
111 12.148003803837238 81 4.9290980521465055 2000 10 0.17724059905250858
266 12.148003803837238 81 4.9290980521465055 2000 10 0.1769802280309025
121 12.148003803837238 81 4.9290980521465055 2000 10 0.17910681267485667
96 12.148003803837238 81 4.9290980521465055 2000 10 0.1765035880999953
201 12.148003803837238 81 4.9290980521465055 2000 10 0.17641104115897172
226 12.148003803837238 81 4.9290980521465055 2000 10 0.1789614251573617
151 12.148003803837238 81 4.9290980521465055 2000 10 0.18140108705175273
36 12.148003803837238 81 4.9290980521465055 2000 10 0.18038241998090565
221 12.148003803837238 81 4.9290980521465055 2000 10 0.18389202369203259
276 12.148003803837238 81 4.9290980521465055 2000 10 0.182888441464892
216 12.148003803837238 81 4.9290980521465055 2000 10 0.17498870254980756
101 12.148003803837238 81 4.9290980521465055 2000 10 0.17606425348825813
211 12.148003803837238 81 4.9290980521465055 2000 10 0.18477773685074286
261 12.148003803837238 81 4.9290980521465055 2000 10 0.18170997228944796
56 12.148003803837238 81 4.9290980521465055 2000 10 0.1814975123498169
161 12.148003803837238 81 4.9290980521465055 2000 10 0.17883419252818394
71 12.148003803837238 81 4.9290980521465055 2000 10 0.17591298942618838
176 12.148003803837238 81 4.9290980521465055 2000 10 0.18048606699200273
196 12.148003803837238 81 4.9290980521465055 2000 10 0.18439999704871582
186 12.148003803837238 81 4.9290980521465055 2000 10 0.17607943937289988
236 12.148003803837238 81 4.9290980521465055 2000 10 0.1763265316976478
181 12.148003803837238 81 4.9290980521465055 2000 10 0.18169190193090787
16 12.148003803837238 81 4.9290980521465055 2000 10 0.1783550874409679
131 12.148003803837238 81 4.9290980521465055 2000 10 0.17725917481949574
86 12.148003803837238 81 4.9290980521465055 2000 10 0.17853019150347552
116 12.148003803837238 81 4.9290980521465055 2000 10 0.17448891920921245
26 12.148003803837238 81 4.9290980521465055 2000 10 0.174594012286154
1 12.148003803837238 81 4.9290980521465055 2000 10 0.18075502642258504
241 12.148003803837238 81 4.9290980521465055 2000 10 0.19139818742064735
156 12.148003803837238 81 4.9290980521465055 2000 10 0.1768053862273895
66 12.148003803837238 81 4.9290980521465055 2000 10 0.17465266400384827
31 12.148003803837238 81 4.9290980521465055 2000 10 0.17828754056446447
21 12.148003803837238 81 4.9290980521465055 2000 10 0.17658787625067976
6 12.148003803837238 81 4.9290980521465055 2000 10 0.17555919854421442
271 12.148003803837238 81 4.9290980521465055 2000 10 0.18494955798814378
206 12.148003803837238 81 4.9290980521465055 2000 10 0.17899870174619267
146 12.148003803837238 81 4.9290980521465055 2000 10 0.18458279518650392
191 12.148003803837238 81 4.9290980521465055 2000 10 0.17595063637794697
141 12.148003803837238 81 4.9290980521465055 2000 10 0.1873899117003108
81 12.148003803837238 81 4.9290980521465055 2000 10 0.1775910677118171
126 12.148003803837238 81 4.9290980521465055 2000 10 0.17998681602902547
76 12.148003803837238 81 4.9290980521465055 2000 10 0.17695623746828737
106 12.148003803837238 81 4.9290980521465055 2000 10 0.18058504869036676
256 12.148003803837238 81 4.9290980521465055 2000 10 0.17451477195984572
51 12.148003803837238 81 4.9290980521465055 2000 10 0.17726890603693804
61 12.148003803837238 81 4.9290980521465055 2000 10 0.17763071340860206
91 12.148003803837238 81 4.9290980521465055 2000 10 0.18035438036391938
41 12.148003803837238 81 4.9290980521465055 2000 10 0.18083576238639812
171 12.148003803837238 81 4.9290980521465055 2000 10 0.19228857684861972
246 12.148003803837238 81 4.9290980521465055 2000 10 0.1781834621971914
251 12.148003803837238 81 4.9290980521465055 2000 10 0.18150884590362862
136 12.148003803837238 81 4.9290980521465055 2000 10 0.1776851998673448
46 12.148003803837238 81 4.9290980521465055 2000 10 0.1764834553528956
232 12.148003803837238 81 4.9290980521465055 2000 10 0.1744497744044654
167 12.148003803837238 81 4.9290980521465055 2000 10 0.18315578425164844
112 12.148003803837238 81 4.9290980521465055 2000 10 0.17783365881610738
202 12.148003803837238 81 4.9290980521465055 2000 10 0.17636830369629122
267 12.148003803837238 81 4.9290980521465055 2000 10 0.18724997663512324
217 12.148003803837238 81 4.9290980521465055 2000 10 0.1795743510100938
12 12.148003803837238 81 4.9290980521465055 2000 10 0.1828482582010066
122 12.148003803837238 81 4.9290980521465055 2000 10 0.1810698045454758
