11.102,20.792,15.274
12.39,20.912,16.364
12.481,21.526,14.871
8.6321,17.868,14.748
9.8407,19.729,14.937
9.8127,18.996,13.733
9.1861,18.438,15.96
9.3748,17.477,13.361
10.389,16.245,13.013
8.2794,16.353,14.253
13.922,9.2266,16.799
12.737,8.4249,15.428
14.99,8.0087,15.186
13.049,8.4892,14.121
21.673,12.899,15.122
21.136,12.639,13.766
21.382,16.788,13.838
17.604,18.629,13.073
18.806,15.061,13.395
19.415,15.86,16.936
19.46,16.913,13.005
11.402,10.553,13.134
14.139,11.216,13.342
13.473,9.3654,13.184
12.193,9.6375,13.299
11.084,13.048,16.9
12.897,12.336,16.192
11.449,13.842,16.549
12.097,13.988,15.54
11.21,9.1289,14.782
20.846,11.158,14.861
20.751,11.382,15.884
10.945,20.163,13.755
10.452,19.562,16.386
10.281,14.474,13.016
9.0784,13.818,13.291
8.18,14.508,14.211
8.6233,12.529,14.214
8.3262,13.165,15.555
13.942,11.157,16.724
11.318,10.021,16.606
11.526,18.237,16.984
11.551,17.746,13.089
11.018,13.272,13.112
9.9798,11.123,13.518
9.5361,10.712,15.464
9.6434,11.139,16.196
8.9101,12.59,16.264
10.953,9.5638,14.083
9.9785,10.198,14.548
16.589,8.4092,15.913
15.567,9.1598,16.802
12.688,12.846,14.217
9.0239,11.621,14.278
19.596,18.682,16.791
21.104,17.763,16.053
10.974,11.595,16.981
16.596,21.811,14.865
14.357,21.069,16.668
13.163,21.271,13.717
12.211,19.475,13.019
13.716,19.447,13.035
8.007,14.755,15.104
8.8638,15.765,16.612
16.393,20.952,13.338
18.07,20.64,13.593
9.7707,14.681,16.986
15.29,19.952,13
18.391,9.517,13.619
18.158,11.549,13.026
19.079,10.376,13.375
18.921,9.2105,14.826
9.3099,17.265,16.654
19.805,9.9474,15.331
19.455,10.588,16.545
8.1748,16.45,15.299
21.556,16.116,16.13
15.888,9.658,13.044
14.656,9.4419,13.083
20.654,18.327,13.749
15.968,20.268,16.968
17.442,21.011,16.336
20.768,14.804,16.845
18.856,13.362,16.828
16.618,8.8486,13.534
20.272,19.605,15.015
21.303,13.705,16.394
19.201,13.549,13.079
15.472,10.868,16.814
16.306,11.467,13.425
18.547,11.912,16.978
19.521,19.287,13.423
19.186,20.197,16.096
20.117,10.848,13.786
20.524,12.549,16.706
16.567,10.005,16.986
17.85,10.316,16.941
17.188,8.4786,14.314
17.841,9.0684,16.23
19.856,11.877,13.155
