venv: /home/niflheim/s215142/thesis-venv/bin/activate
Heat bath temp: 2000
Heat bath temp: 1500
Heat bath temp: 1000
Heat bath temp: 500
Heat bath temp: 0
      Step     Time          Energy          fmax
BFGS:   54 18:43:36       12.901309        0.252183
BFGS:   72 18:43:36       12.816256        0.254325
BFGS:   55 18:43:37       12.891506        0.252216
BFGS:   73 18:43:37       12.817104        0.255132
BFGS:   56 18:43:37       12.896915        0.252262
BFGS:   74 18:43:37       12.816266        0.254320
BFGS:   57 18:43:37       12.906516        0.252425
BFGS:   75 18:43:37       12.820499        0.253497
BFGS:   58 18:43:37       12.896002        0.252148
BFGS:   76 18:43:37       12.816273        0.254318
BFGS:   59 18:43:37       12.890315        0.251832
BFGS:   77 18:43:37       12.817085        0.255124
BFGS:   60 18:43:37       12.895234        0.252205
BFGS:   78 18:43:37       12.816286        0.254312
BFGS:   61 18:43:37       12.904089        0.252690
BFGS:   79 18:43:37       12.820573        0.253487
BFGS:   62 18:43:37       12.895582        0.252178
BFGS:   80 18:43:37       12.816296        0.254309
BFGS:   63 18:43:37       12.891570        0.251691
BFGS:   81 18:43:37       12.817057        0.255114
BFGS:   64 18:43:38       12.894739        0.252170
BFGS:   82 18:43:38       12.816311        0.254302
BFGS:   65 18:43:38       12.901382        0.252761
BFGS:   83 18:43:38       12.820669        0.253476
BFGS:   84 18:43:38       12.816326        0.254296
BFGS:   66 18:43:38       12.894705        0.252163
BFGS:   85 18:43:38       12.817017        0.255100
BFGS:   67 18:43:38       12.891871        0.251610
BFGS:   86 18:43:38       12.816348        0.254287
BFGS:   68 18:43:38       12.894649        0.252168
BFGS:   87 18:43:38       12.820796        0.253461
BFGS:   69 18:43:38       12.901239        0.252771
BFGS:   88 18:43:38       12.816369        0.254279
BFGS:   70 18:43:38       12.894647        0.252168
BFGS:   89 18:43:38       12.816957        0.255080
BFGS:   71 18:43:38       12.891868        0.251610
BFGS:   90 18:43:39       12.822593        0.255876
BFGS:   72 18:43:39       12.894649        0.252169
BFGS:   91 18:43:39       12.816939        0.255075
BFGS:   73 18:43:39       12.901245        0.252772
BFGS:   92 18:43:39       12.816411        0.254261
BFGS:   74 18:43:39       12.894648        0.252169
BFGS:   93 18:43:39       12.821031        0.253433
BFGS:   75 18:43:39       12.891866        0.251611
BFGS:   94 18:43:39       12.816432        0.254254
